Trimestre,Setor,Estoque,Estoque_Nacional
2019q1,Comércio,2798715.6441760394,92621208.364936069
2019q1,Intermediação Financeira,1309348.84555127,92621208.364936069
2019q1,Outros Serviços,10900455.653479343,92621208.364936069
2019q1,Serviço de Informação,1442967.9564923795,92621208.364936069
2019q1,Serviços Imobiliários,584809.6179119898,92621208.364936069
2019q1,Transporte,4860896.7375552719,92621208.364936069
2019q2,APU,16225645.541711167,94158956.8887117
2019q2,Comércio,2827615.7092114007,94158956.8887117
2019q2,Intermediação Financeira,1323496.0931220797,94158956.8887117
2019q2,Outros Serviços,11208663.639785556,94158956.8887117
2019q2,Serviço de Informação,1419630.58053282,94158956.8887117
2019q2,Serviços Imobiliários,572679.50660309,94158956.8887117
2019q2,Transporte,4942768.1735790009,94158956.8887117
2019q3,APU,16300769.082249571,94736611.272285759
2019q3,Comércio,2881485.59663681,94736611.272285759
2019q3,Intermediação Financeira,1307284.0483421,94736611.272285759
2019q3,Outros Serviços,11286287.826709541,94736611.272285759
2019q3,Serviço de Informação,1436400.36919669,94736611.272285759
2019q3,Serviços Imobiliários,586602.35997781972,94736611.272285759
2019q3,Transporte,4956819.39671239,94736611.272285759
2019q4,APU,16310897.158397108,95514997.140021965
2019q4,Comércio,2907900.50039108,95514997.140021965
2019q4,Intermediação Financeira,1286342.7588892505,95514997.140021965
2019q4,Outros Serviços,11479673.12911427,95514997.140021965
2019q4,Serviço de Informação,1493148.01659501,95514997.140021965
2019q4,Serviços Imobiliários,567232.71615088021,95514997.140021965
2019q4,Transporte,4987237.8225518307,95514997.140021965
2020q1,APU,16279714.522208314,93114584.548634931
2020q1,Comércio,2886756.6084112809,93114584.548634931
2020q1,Intermediação Financeira,1307499.0000188001,93114584.548634931
2020q1,Outros Serviços,10880353.136221707,93114584.548634931
2020q1,Serviço de Informação,1551998.4184266601,93114584.548634931
2020q1,Serviços Imobiliários,553418.42322314,93114584.548634931
2020q1,Transporte,4960492.8663678924,93114584.548634931
2020q2,APU,16378043.190471807,84050907.360094383
2020q2,Comércio,2567313.3512466606,84050907.360094383
2020q2,Intermediação Financeira,1249676.5747287897,84050907.360094383
2020q2,Outros Serviços,8752506.5721135,84050907.360094383
2020q2,Serviço de Informação,1482798.6036851401,84050907.360094383
2020q2,Serviços Imobiliários,515056.08434702992,84050907.360094383
2020q2,Transporte,4454352.14193848,84050907.360094383
2020q3,APU,15750774.165941291,83439420.0760775
2020q3,Comércio,2610151.42644347,83439420.0760775
2020q3,Intermediação Financeira,1210917.2838161702,83439420.0760775
2020q3,Outros Serviços,8526575.8215171061,83439420.0760775
2020q3,Serviço de Informação,1517540.9303315592,83439420.0760775
2020q3,Serviços Imobiliários,587005.23644483974,83439420.0760775
2020q3,Transporte,4261453.32515525,83439420.0760775
2020q4,APU,16173008.368702374,87225343.841576532
2020q4,Comércio,2732760.50124486,87225343.841576532
2020q4,Intermediação Financeira,1385653.7781557904,87225343.841576532
2020q4,Outros Serviços,9036056.37017791,87225343.841576532
2020q4,Serviço de Informação,1536367.5785949903,87225343.841576532
2020q4,Serviços Imobiliários,525948.1803853201,87225343.841576532
2020q4,Transporte,4413250.1097474294,87225343.841576532
2021q1,APU,16063675.553103566,87082018.503703535
2021q1,Comércio,2685702.26908131,87082018.503703535
2021q1,Intermediação Financeira,1394336.70211407,87082018.503703535
2021q1,Outros Serviços,8917078.1629005317,87082018.503703535
2021q1,Serviço de Informação,1567388.8532713894,87082018.503703535
2021q1,Serviços Imobiliários,598194.52051711013,87082018.503703535
2021q1,Transporte,4510250.7582879793,87082018.503703535
2021q2,APU,16201933.959652467,89384334.97879456
2021q2,Comércio,2774658.9569532205,89384334.97879456
2021q2,Intermediação Financeira,1370360.1520668494,89384334.97879456
2021q2,Outros Serviços,9302774.76342334,89384334.97879456
2021q2,Serviço de Informação,1705666.10205901,89384334.97879456
2021q2,Serviços Imobiliários,565184.48249996011,89384334.97879456
2021q2,Transporte,4659476.47876211,89384334.97879456
2021q3,APU,16030248.405979497,92976445.622076228
2021q3,Comércio,2874884.57341721,92976445.622076228
2021q3,Intermediação Financeira,1360091.16918884,92976445.622076228
2021q3,Outros Serviços,9821010.25617998,92976445.622076228
2021q3,Serviço de Informação,1669664.0363275597,92976445.622076228
2021q3,Serviços Imobiliários,601989.02040786017,92976445.622076228
2021q3,Transporte,4803952.9379462311,92976445.622076228
2021q4,APU,16386938.054192789,95747457.845474854
2021q4,Comércio,2922355.5591197805,95747457.845474854
2021q4,Intermediação Financeira,1435613.23512434,95747457.845474854
2021q4,Outros Serviços,10688973.347634261,95747457.845474854
