Trimestre_Cod,Setor_Cod,Setor_Nome,VAB_Indice_Volume
202502,90699,Informação e comunicação,1.4
202502,90700,"Atividades financeiras, de seguros e serviços relacionados",1.3
202502,90702,Atividades imobiliárias,0.8
202502,90701,Outras atividades de serviços,0.7
202502,90703,"Administração, saúde e educação públicas e seguridade social",-0.1
202503,90697,Comércio,0.4
202503,90698,"Transporte, armazenagem e correio",2.6
202503,90699,Informação e comunicação,1.3
202503,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.7
202503,90702,Atividades imobiliárias,0.6
202503,90701,Outras atividades de serviços,0.1
202503,90703,"Administração, saúde e educação públicas e seguridade social",0.4
202504,90697,Comércio,-0.3
202504,90698,"Transporte, armazenagem e correio",-1.4
202504,90699,Informação e comunicação,1.5
202504,90700,"Atividades financeiras, de seguros e serviços relacionados",3.3
202504,90702,Atividades imobiliárias,0.2
202504,90701,Outras atividades de serviços,0.7
202504,90703,"Administração, saúde e educação públicas e seguridade social",0.4
