Trimestre,Setor,Estoque_Total_Setor,Estoque_TI_Setor
2018q2,Outros Serviços,10844833.380584227,30083.676840699998
2018q2,Serviço de Informação,1330657.1457969304,452404.22236534016
2018q2,Serviços Imobiliários,568648.3795822399,1585.2308153100003
2018q2,Transporte,4705942.7653229022,10585.956938139998
2018q3,APU,16024926.221442144,113008.09377114002
2018q3,Comércio,2792240.3262907811,7051.10491769
2018q3,Intermediação Financeira,1275937.9452500504,72231.81876665
2018q3,Outros Serviços,11086191.463324003,34682.37649213001
2018q3,Serviço de Informação,1412537.0508246296,490505.28473098011
2018q3,Serviços Imobiliários,600926.3467180297,2438.2412949
2018q3,Transporte,4653455.107401,7592.892328410001
2018q4,APU,16099616.047078207,114221.78138585998
2018q4,Comércio,2859362.3230881114,6496.6421027
2018q4,Intermediação Financeira,1271019.2899449205,68140.57672381
2018q4,Outros Serviços,11110577.248206478,27040.467764
2018q4,Serviço de Informação,1401091.14913478,493892.18607849011
2018q4,Serviços Imobiliários,583301.15950518,2255.12151846
2018q4,Transporte,4830772.19634234,17977.66209467
2019q1,APU,15748579.221075509,109164.31780962997
2019q1,Comércio,2798715.6441760412,7068.39376391
2019q1,Intermediação Financeira,1309348.8455512698,58007.650733229995
2019q1,Outros Serviços,10900455.653479338,26263.21632330001
2019q1,Serviço de Informação,1442967.9564923793,502431.97435632983
2019q1,Serviços Imobiliários,584809.6179119898,1406.7371738499999
2019q1,Transporte,4860896.737555271,18407.18363336
2019q2,APU,16225645.54171117,124298.21580099
2019q2,Comércio,2827615.7092114007,6193.27851715
2019q2,Intermediação Financeira,1323496.09312208,76327.622290940024
2019q2,Outros Serviços,11208663.63978556,30186.51885752
2019q2,Serviço de Informação,1419630.5805328204,518804.26031985978
2019q2,Serviços Imobiliários,572679.50660309021,722.53829745
2019q2,Transporte,4942768.173578999,18616.63079188
2019q3,APU,16300769.082249571,109536.46401979998
2019q3,Comércio,2881485.5966368103,4413.48478102
2019q3,Intermediação Financeira,1307284.0483421,62202.033648920013
2019q3,Outros Serviços,11286287.826709542,25541.172864529995
2019q3,Serviço de Informação,1436400.3691966902,525150.91619820986
2019q3,Serviços Imobiliários,586602.35997781984,486.815247
2019q3,Transporte,4956819.3967123935,19117.353823450005
2019q4,APU,16310897.158397106,105794.09600277
2019q4,Comércio,2907900.50039108,5099.76100934
2019q4,Intermediação Financeira,1286342.7588892498,67536.872461940016
2019q4,Outros Serviços,11479673.129114266,23484.581404560002
2019q4,Serviço de Informação,1493148.0165950102,531773.77634989
2019q4,Serviços Imobiliários,567232.71615088021,2675.8555757199997
2019q4,Transporte,4987237.82255183,22754.79629324
2020q1,APU,16279714.522208314,108031.99763500999
2020q1,Comércio,2886756.60841128,5553.46690997
2020q1,Intermediação Financeira,1307499.0000187994,76572.23666955001
2020q1,Outros Serviços,10880353.136221705,35410.75586559
2020q1,Serviço de Informação,1551998.41842666,565930.4754018801
2020q1,Serviços Imobiliários,553418.42322314007,3202.09685661
2020q1,Transporte,4960492.86636789,19468.14074263
2020q2,APU,16378043.190471806,117600.11461988001
2020q2,Comércio,2567313.3512466596,2445.80518059
2020q2,Intermediação Financeira,1249676.5747287902,59277.820322859996
2020q2,Outros Serviços,8752506.5721135,26053.537985770003
2020q2,Serviço de Informação,1482798.6036851401,596735.57454565994
2020q2,Serviços Imobiliários,515056.08434702992,4310.88416578
2020q2,Transporte,4454352.14193848,16675.944442860004
2020q3,APU,15750774.165941291,145155.41499497998
2020q3,Comércio,2610151.4264434688,0.0
2020q3,Intermediação Financeira,1210917.28381617,57670.357051510007
2020q3,Outros Serviços,8526575.82151711,22908.45650735
2020q3,Serviço de Informação,1517540.9303315596,661201.84508959006
2020q3,Serviços Imobiliários,587005.23644483986,7129.75667516
2020q3,Transporte,4261453.32515525,16660.285655390002
2020q4,APU,16173008.368702374,112575.96293229998
2020q4,Comércio,2732760.50124486,4269.6467425
2020q4,Intermediação Financeira,1385653.7781557906,68389.26533356
2020q4,Outros Serviços,9036056.3701779116,30183.075371370003
2020q4,Serviço de Informação,1536367.5785949903,674640.72177242
2020q4,Serviços Imobiliários,525948.18038532,4633.6926969399992
2020q4,Transporte,4413250.1097474322,23164.620601289997
2021q1,APU,16063675.553103572,128456.95598295005
2021q1,Comércio,2685702.2690813094,11533.54467156
2021q1,Intermediação Financeira,1394336.7021140698,68215.317624089992
2021q1,Outros Serviços,8917078.1629005279,32719.21823188
2021q1,Serviço de Informação,1567388.85327139,744119.54630972014
2021q1,Serviços Imobiliários,598194.52051711013,372.04575676
2021q1,Transporte,4510250.7582879812,9427.1960765199983
2021q2,APU,16201933.959652467,136981.23493694997
2021q2,Comércio,2774658.9569532191,4613.58761909
2021q2,Intermediação Financeira,1370360.1520668494,99622.292889590011
2021q2,Outros Serviços,9302774.7634233385,25371.143891910004
2021q2,Serviço de Informação,1705666.1020590095,770776.2579795795
2021q2,Serviços Imobiliários,565184.48249996023,6588.92989493
2021q2,Transporte,4659476.4787621088,9355.2129490199986
2021q3,APU,16030248.4059795,128846.43563200993
2021q3,Comércio,2874884.5734172096,3108.52623734
2021q3,Intermediação Financeira,1360091.1691888403,74024.479315060016
2021q3,Outros Serviços,9821010.25617998,19280.595656550002
2021q3,Serviço de Informação,1669664.0363275602,703118.87893965968
2021q3,Serviços Imobiliários,601989.02040785982,7798.9766057
2021q3,Transporte,4803952.937946233,16929.64469237
2021q4,APU,16386938.054192783,111258.3472783
2021q4,Comércio,2922355.5591197796,6481.2425340499994
2021q4,Intermediação Financeira,1435613.2351243403,89130.10950424
2021q4,Outros Serviços,10688973.347634261,15398.06187657
2021q4,Serviço de Informação,1835026.5102805898,773550.38589517027
2021q4,Serviços Imobiliários,592088.86804041988,10613.290628780001
2021q4,Transporte,4859260.3962841015,14496.46021126
2022q1,APU,16355933.6365595,115616.06249723003
2022q1,Comércio,3021523.4356948403,3949.55116012
2022q1,Intermediação Financeira,1443234.9087127005,107840.87347791999
2022q1,Outros Serviços,10636926.469190162,21177.33347773
2022q1,Serviço de Informação,1772262.8582815698,719333.71196054993
2022q1,Serviços Imobiliários,601087.39017317013,2389.36153306
2022q1,Transporte,4981916.2753280494,12836.91289267
2022q2,APU,17094481.260624181,117818.66502692997
2022q2,Comércio,3092031.0347329616,5057.9697866499992
2022q2,Intermediação Financeira,1496592.4612614799,108914.51902886
2022q2,Outros Serviços,11031079.59206691,17356.6706864
2022q2,Serviço de Informação,1930443.20425209,773901.93102672033
2022q2,Serviços Imobiliários,653916.0485154,1648.8814080299999
2022q2,Transporte,5121155.2853642777,23036.738190940003
2022q3,APU,17409210.867741264,137731.29556527996
2022q3,Comércio,3118901.84436394,4063.68989806
2022q3,Intermediação Financeira,1536873.69268321,118375.42750688999
2022q3,Outros Serviços,11411382.469462158,17843.593277709995
2022q3,Serviço de Informação,1797272.5289018794,749052.51870852
2022q3,Serviços Imobiliários,661994.65659385012,5492.81262551
2022q3,Transporte,5239550.1431184616,28616.13316931
2022q4,APU,17586181.721449386,129601.97413449998
2022q4,Comércio,3051849.4927938017,5158.00656001
2022q4,Intermediação Financeira,1610927.2943736804,137073.24128972
2022q4,Outros Serviços,11302359.062309047,19723.036662209997
2022q4,Serviço de Informação,1838850.8912576002,767247.83655891
2022q4,Serviços Imobiliários,654588.50021149009,5360.4526892400008
2022q4,Transporte,5340383.9966730075,40672.0464964
2023q1,APU,17171074.30105567,127213.95945409001
2023q1,Comércio,3014011.7740525696,3153.87596862
2023q1,Intermediação Financeira,1593208.26586056,107494.26472718998
2023q1,Outros Serviços,10933541.869874639,12119.61382127
2023q1,Serviço de Informação,1788869.1120149991,769203.4563530999
2023q1,Serviços Imobiliários,659665.07541538985,7599.2877064700006
2023q1,Transporte,5375334.9183770213,45535.48541165
2023q2,APU,17887285.50149285,137160.99429541
2023q2,Comércio,3088293.38750914,5233.93605022
2023q2,Intermediação Financeira,1552796.3321587096,119508.85378782
2023q2,Outros Serviços,11153540.568917641,28745.410833229995
2023q2,Serviço de Informação,1854255.42809419,796786.03027135041
2023q2,Serviços Imobiliários,668948.16781150014,5627.5890409500007
2023q2,Transporte,5339853.5398082621,33380.7579318
2023q3,APU,18094106.291263193,136830.42233682005
2023q3,Comércio,3109691.99048667,3147.9712149499996
2023q3,Intermediação Financeira,1632221.36910864,111220.78792103002
2023q3,Outros Serviços,11105995.037553079,29082.453943530007
2023q3,Serviço de Informação,1946838.6418132409,860179.80563871993
2023q3,Serviços Imobiliários,676777.33087348007,5678.0566137900005
2023q3,Transporte,5462933.8873367775,36316.45620114
2023q4,APU,18041110.359475713,163976.24084093006
2023q4,Comércio,3169740.45432936,5451.0845804300006
2023q4,Intermediação Financeira,1592476.2047346402,131821.38477388996
2023q4,Outros Serviços,11618994.710065117,26538.36157268
2023q4,Serviço de Informação,2027315.0278457701,955934.1027311699
2023q4,Serviços Imobiliários,724110.05209778,5859.8959323
2023q4,Transporte,5702201.9923646757,33293.657883629989
2024q1,APU,17721068.489548698,135694.32924629
2024q1,Comércio,3110612.804907361,1684.05403355
2024q1,Intermediação Financeira,1591654.6605873497,122188.43049873
2024q1,Outros Serviços,11373462.998382716,17238.838861440003
2024q1,Serviço de Informação,1944487.4238788101,862831.55683867028
2024q1,Serviços Imobiliários,720346.2268454798,3510.3644865
2024q1,Transporte,5697282.6567822993,28337.40849301
2024q2,APU,18572681.563038927,137491.13391027003
2024q2,Comércio,3224622.68916187,6367.5615105000006
2024q2,Intermediação Financeira,1558044.3590185002,148753.12704167998
2024q2,Outros Serviços,11467948.9501529,19852.926953029997
2024q2,Serviço de Informação,2028557.7302951002,890342.77413163974
2024q2,Serviços Imobiliários,733618.62404093007,3743.9475162899994
2024q2,Transporte,5743215.0587017313,32109.560275559998
2024q3,APU,18736474.385633674,145229.39466025008
2024q3,Comércio,3307057.5252438597,6434.5422833300008
2024q3,Intermediação Financeira,1610282.7130585306,120425.49097199
2024q3,Outros Serviços,11616026.335833954,22560.39868321
2024q3,Serviço de Informação,2017287.3700206706,859024.77180388977
2024q3,Serviços Imobiliários,717924.05755816994,4267.13106513
2024q3,Transporte,5713801.41047523,18172.000703799997
2024q4,APU,18730934.024244078,138610.13460125003
2024q4,Comércio,3286738.48979209,4580.0922294199991
2024q4,Intermediação Financeira,1567009.22874591,146265.68122075003
2024q4,Outros Serviços,11616851.522631988,24556.85043846
2024q4,Serviço de Informação,2001228.8287430208,851952.8489170901
2024q4,Serviços Imobiliários,739881.73431865009,6284.4718624199995
2024q4,Transporte,5998665.22636034,25361.333521689998
2025q1,APU,18062871.859376561,126440.53775859
2025q1,Comércio,3182510.27095669,8214.7450737
2025q1,Intermediação Financeira,1603819.2195878497,138425.3244099
2025q1,Outros Serviços,11138291.04943401,33366.692121399996
2025q1,Serviço de Informação,1936945.4963628901,844141.0433747
2025q1,Serviços Imobiliários,735927.78166889,6327.45980599
2025q1,Transporte,5818716.1862808205,28360.44895651
2025q2,APU,18870320.587888815,133737.69978855
2025q2,Comércio,3296531.8865009993,15015.75635321
2025q2,Intermediação Financeira,1658177.12496187,158973.31426166004
2025q2,Outros Serviços,11302795.062926048,31057.94486091
2025q2,Serviço de Informação,1926574.3621968601,825910.61792998994
2025q2,Serviços Imobiliários,740765.92139094009,5570.58355405
2025q2,Transporte,5944241.4294756008,21840.939185210005
2025q3,APU,19080432.541169751,165149.70291874994
2025q3,Comércio,3345875.3665277804,6941.9195632800011
2025q3,Intermediação Financeira,1609736.8034627305,150353.06513922004
2025q3,Outros Serviços,11004445.205876745,32773.90620413
2025q3,Serviço de Informação,1910837.52424089,837404.15664424
2025q3,Serviços Imobiliários,783104.55064458,8048.052270279999
2025q3,Transporte,5955361.1106667416,30428.802750209998
