Setor,Trimestre,Period,d_ln_Produtividade,Impacto_tech_setor,d_ln_Cambio,d_Selic,VAB_Industria_Volume,Share_2012q1,d_ln_PPI_Semi
Serviço de Informação,2022q4,2022-10-01,0.0649743403196074,-0.0010640898673972,0.0012057445663369,0.1899999999999995,-0.6,0.0148744935445126,0.013146068907619046
Serviço de Informação,2023q1,2023-01-01,-0.0898286992923522,-0.0008294899421243,-0.0117061873342434,0.0,0.2,0.0148744935445126,-0.004426893885050909
Serviço de Informação,2023q2,2023-04-01,-0.0044981296357202,-0.0009416121356281,-0.0479624086240166,0.0,0.9,0.0148744935445126,-0.007562776399954174
Serviço de Informação,2023q3,2023-07-01,-0.0235523475932835,6.981095748302173e-05,-0.0144296190127115,-0.379999999999999,0.7,0.0148744935445126,0.005563679116043829
Serviço de Informação,2023q4,2023-10-01,0.0321280148737077,-0.0001444323445455,0.0148469251060516,-1.0400000000000027,1.5,0.0148744935445126,0.006368022170764931
Serviço de Informação,2024q1,2024-01-01,-0.0475451194502718,0.0017300713575739,-9.421518755781122e-05,-0.9633333333333328,0.6,0.0148744935445126,0.008715482051075085
Serviço de Informação,2024q2,2024-04-01,-0.0104184422199162,0.0003114357157311,0.0519421897324703,-0.7633333333333319,0.5,0.0148744935445126,0.0027603797122131013
Serviço de Informação,2024q3,2024-07-01,0.0604012590604008,0.0019156508284999,0.0610398418730573,-0.0700000000000002,0.7,0.0148744935445126,-0.011655587016039526
Serviço de Informação,2024q4,2024-10-01,0.0647881980985252,-0.0019240148815825,0.0522299686138909,0.7200000000000006,0.4,0.0148744935445126,0.018748179836389767
Serviços Imobiliários,2012q2,2012-04-01,-0.0809074936752134,0.0003361876524576,0.1049078733506749,-1.4366666666666674,-2.1,0.005645925761374,0.0016727073875033582
Serviços Imobiliários,2012q3,2012-07-01,0.0330736830178048,4.425387144626447e-05,0.0327679155782643,-1.0999999999999996,1.5,0.005645925761374,-0.006707683059238967
